,Name,Median Earnings After 10yrs,Cost: Academic Year,Median Debt at Graduation
3586,Allen University,19400,19831,31980
139,Arkansas Baptist College,21100,20015,33179
3590,Benedict College,21400,27620,40000
922,Beulah Heights University,26800,11105,41750
2971,Central State University,24900,16288,35218.5
1229,College of Court Reporting Inc,23300,14518,40050
779,Florida Memorial University,27700,23611,41213
2838,Livingstone College,26100,24000,36500
1294,Martin University,22300,21250,34860
4537,Platt College-Aurora,32600,41487,43000
2886,Shaw University,27400,24269,37737
3716,South College,22400,31676,33110
4980,Southwest University of Visual Arts-Albuquerque,27500,46544,47186.5
86,Southwest University of Visual Arts-Tucson,27500,46183,47186.5
872,Stenotype Institute of Jacksonville Inc-Jacksonville,27100,30122,44260
5825,Stenotype Institute of Jacksonville Inc-Orlando,27100,29393,44260
6260,Westwood College-Annandale,34200,29306,44404.5
6139,Westwood College-Arlington Ballston,34200,29361,44404.5
490,Westwood College-South Bay,34200,29329,44404.5
